
750,750,0,1268.4936130046844
747,747,1,2998.5253891944885
745,745,2,4752.028859615326
740,740,3,6504.213264942169
740,742,4,8257.196182489395
738,738,5,10008.121014595032
734,734,6,11759.645127534866
728,728,7,13510.801540613174
728,729,8,15259.598094701767
722,722,9,17007.25340986252
718,718,10,18753.268050670624
715,715,11,20496.823350429535
715,715,12,22238.46986103058
711,711,13,23977.376471042633
711,712,14,25714.14854001999
710,710,15,27447.505915403366
703,703,16,29178.896769285202
703,705,17,30907.7259683609
703,704,18,32636.825573921204
702,702,19,34365.130110263824
702,702,20,36091.79879403114
697,697,21,37816.91267156601
697,697,22,39539.81378149986
696,696,23,41260.245713710785
695,695,24,42975.648827552795
694,694,25,44687.75163125992
692,692,26,46393.83993911743
692,693,27,48093.8842484951
692,692,28,49791.74902319908
692,692,29,51485.83027601242
691,691,30,53181.45001244545
691,691,31,54876.1641099453
691,691,32,56571.005222558975
691,691,33,58265.185492277145
691,691,34,59960.72830796242
691,691,35,61653.98750090599
691,691,36,63348.548463106155
690,690,37,65042.512169361115
690,690,38,66737.39596867561
690,690,39,68431.17151141167
690,690,40,70125.746281147
690,690,41,71820.14393925667
690,691,42,73515.27665424347
690,691,43,75208.8346376419
690,691,44,76902.6299507618
690,691,45,78595.47849225998
690,691,46,80288.58156013489
690,690,47,81980.74048233032
690,691,48,83673.96574735641
690,691,49,85367.36994433403
