18,18,0,386.1927330493927
14,14,1,1066.7587096691132
13,13,2,1742.9294629096985
11,11,3,2412.707981824875
9,9,4,3076.5852484703064
7,7,5,3732.1456823349
6,6,6,4382.161094903946
6,6,7,5023.939296722412
5,5,8,5658.260082483292
4,4,9,6282.66117143631
4,4,10,6898.568846464157
3,3,11,7505.9359538555145
3,3,12,8100.372978448868
2,2,13,8685.634742736816
2,2,14,9258.452851057053
2,2,15,9822.464697599411
2,2,16,10380.4895029068
1,1,17,10937.229806900024
1,1,18,11485.322293281555
1,2,19,12031.004454135895
1,1,20,12573.262329101562
1,1,21,13113.802868843079
1,1,22,13648.983131885529
1,1,23,14179.474910497665
1,1,24,14712.216803789139
1,1,25,15243.122040748596
1,1,26,15773.438549995422
1,1,27,16303.215409040451
1,1,28,16829.4558801651
1,1,29,17354.130291700363
1,1,30,17877.41252017021
1,1,31,18400.735589027405
1,1,32,18925.35507941246
0,0,33,19447.922849416733
